Title,Created Date,Author
Feat: Bulk Create Documents,2024-11-13T00:22:54Z,PineappleIOnic
chore(deps-dev): bump twig/twig from 3.14.0 to 3.14.2,2024-11-12T19:49:08Z,dependabot[bot]
feat: add telemetry,2024-11-12T09:45:17Z,basert
Send migration errors individually,2024-11-12T02:30:25Z,PineappleIOnic
Add git commit author avatar to deployments,2024-11-11T19:11:34Z,vermakhushboo
Feat bulk updates,2024-11-11T06:29:28Z,PineappleIOnic
Reapply "Update database",2024-11-11T02:23:50Z,abnegate
Feat bulk deletes,2024-11-07T03:37:15Z,PineappleIOnic
Delete rules when site or deployment is deleted,2024-11-06T18:16:47Z,vermakhushboo
chore(deps-dev): bump symfony/process from 7.1.3 to 7.1.7,2024-11-06T16:14:42Z,dependabot[bot]
Fix: bandwidth calculation,2024-11-06T11:31:26Z,Meldiron
feat: update API endpoint in the code examples,2024-11-06T11:08:45Z,christyjacob4
Fix: Preview domains locally,2024-11-06T10:53:41Z,Meldiron
Use sizeActual instead for file storage usage,2024-11-05T03:27:08Z,lohanidamodar
feat: Warn if null or empty key is passed,2024-10-30T21:05:20Z,patHyatt
Fix 2365 Oauth2 does not add port number to uri,2024-10-29T20:40:48Z,AryanSwaroop
feat: insights,2024-10-27T10:48:58Z,TorstenDittmann
Create README-ES.md (Spanish/Español),2024-10-27T10:42:47Z,DH-555
fix refreshToken missing in google oauth,2024-10-26T11:44:15Z,Shaik-Sirajuddin
Feat sites,2024-10-25T16:48:40Z,vermakhushboo
make view api use file cache,2024-10-25T15:39:11Z,shimonewman
Update CONTRIBUTING.md,2024-10-24T16:27:36Z,raman04-byte
fix: createuser... endpoints return a vague server error when null name is provided,2024-10-24T09:49:16Z,Shaik-Sirajuddin
📚 Documentation: Deprecation of ${workspaceRoot} in VSCode debug config for XDebug setup. #8814,2024-10-22T12:22:39Z,Kraftsman1
feat: move certificate generation to Adapter,2024-10-22T11:57:40Z,basert
Memcached for `/view` endpoint,2024-10-20T12:31:30Z,ItzNotABug
feat: custom registrar,2024-10-18T19:45:26Z,TorstenDittmann
feat: add health-check that monitores pending certificates queue,2024-10-18T10:58:12Z,basert
Rewrite function variables endpoints with http syntax,2024-10-14T15:49:20Z,vermakhushboo
update docker image to use the latest image tag,2024-10-14T10:20:31Z,egyleader
Reduce builds usage storage,2024-10-10T19:40:35Z,shimonewman
example: compose files,2024-10-09T10:20:00Z,TorstenDittmann
Adds state parameter to OAuth2 flow,2024-10-09T00:49:17Z,gepd
Replace expectException with try/catch,2024-10-03T10:22:11Z,vermakhushboo
Feat docker geo,2024-10-02T09:26:28Z,lohanidamodar
chore: update SDKs,2024-10-01T17:10:41Z,christyjacob4
feat(oauth): implement figma provider integration,2024-10-01T16:56:13Z,albnunes
Delete Project devices return console,2024-10-01T11:31:26Z,fogelito
Feat: PHP Stan code analysis,2024-09-27T15:16:19Z,Meldiron
fix(assistant): make Appwrite Assistant hostname configurable,2024-09-24T08:52:56Z,basert
Fix: unwanted logs & outbound issues,2024-09-20T11:04:57Z,Meldiron
Fixing new user blocked issue,2024-09-20T01:34:40Z,EJM143
Replace sleep with await method in functions,2024-09-18T22:15:19Z,vermakhushboo
Multi region support,2024-09-15T15:45:18Z,shimonewman
refactor: centralize parameter validation,2024-09-06T23:15:27Z,ladunjexa
refactor: centralize payload population,2024-09-06T22:46:17Z,ladunjexa
Bug 5901 fix resend invitation from create invite,2024-08-13T16:15:18Z,ZachHandley
Refactor: Update Vietnamese translations,2024-08-13T15:54:22Z,HUNG-rushb
Fix Scheduled Executions,2024-08-12T09:29:07Z,ItzNotABug
Feat enum statuses,2024-08-02T20:18:15Z,byawitz
Implement MFA Emails for authenticator creation and deletion,2024-08-02T04:28:21Z,PineappleIOnic
updated the mobile platform,2024-08-01T17:18:29Z,EswaramoorthyS
Db project by region,2024-07-30T15:37:16Z,shimonewman
Feat console roles,2024-07-17T21:18:30Z,christyjacob4
Avoid adding default storage permission for console user,2024-07-16T16:55:43Z,Souptik2001
Add oauth2 details in session when creating session from oauth2 token,2024-07-13T04:18:41Z,Souptik2001
Development Keys,2024-07-10T07:17:12Z,lohanidamodar
Feat refactor init config,2024-06-30T04:32:08Z,lohanidamodar
Add better error message for `CustomID` validator input data type,2024-06-27T05:01:58Z,Souptik2001
Skip session secret validation and add session expiry check in case of JWT authentication,2024-06-24T09:23:53Z,Souptik2001
[docs] Closing parenthesis is missing for print prompts,2024-06-19T10:16:50Z,hbjORbj
Feat implement webauthn,2024-06-18T05:54:46Z,PineappleIOnic
docs: :memo: improve nepali translation (ne.json),2024-06-16T10:43:54Z,infysumanta
Exteand deletes worker,2024-06-16T08:11:44Z,shimonewman
Implement Database Storage Metrics,2024-06-13T05:58:40Z,PineappleIOnic
fix: Missing Translation For "countries.hk" in `lb.json`,2024-06-12T10:45:56Z,xuelink
Updates in multi region sync,2024-06-04T14:10:16Z,shimonewman
Add `HEAD` & `TRACE` Methods,2024-05-25T12:04:17Z,ItzNotABug
docker-compose: mariadb,2024-05-24T05:54:45Z,grooverdan
Fix resending team invite,2024-05-17T23:35:08Z,stnguyen90
